Animal_ID,Animal_name,Kor_Name,CR_ID,Size_ID,Spd,CaptureHP,Range_min,Range_max,Spawn,Model
207,Kookaburra,웃음물총새,1,0,5,20,5,5,1,0.Animal/Mypreset/Kookaburra
203,Duck,오리,1,1,3,35,5,8,2,0.Animal/Mypreset/Duck
205,Little Owl,금눈쇠올빼미,1,1,4,33,5,6,2.5,0.Animal/Mypreset/Little Owl
201,Rabbit,토끼,1,1,3,35,5,8,2,0.Animal/Mypreset/Rabbit
206,Raccoon,라쿤,1,1,3,35,5,8,2,0.Animal/Mypreset/Raccoon
202,SnowWeasel,흰족제비,1,1,4,33,4,5,2.5,0.Animal/Mypreset/SnowWeasel
204,Wild Rooster,야생 닭,1,1,3,35,5,8,2,0.Animal/Mypreset/Wild Rooster
209,Donkey,당나귀,1,2,2,47,5,10,2.5,0.Animal/Mypreset/Donkey
211,Jackal,자칼,1,2,3,45,5,8,3,0.Animal/Mypreset/Jackal
210,Pig,돼지,1,2,2,47,5,10,2.5,0.Animal/Mypreset/Pig
208,Red Fox,붉은여우,1,2,3,45,5,8,3,0.Animal/Mypreset/Red Fox
213,Kingfisher,물총새,2,0,5,30,3,3,1,0.Animal/Mypreset/Kingfisher
214,GilaMonster,독도마뱀,2,1,3,45,5,8,2,0.Animal/Mypreset/GilaMonster
220,Hedgehog,고슴도치,2,1,3,45,5,8,2,0.Animal/Mypreset/Hedgehog
217,ArcticFox,북극여우,2,2,4,53,4,5,3.5,0.Animal/Mypreset/ArcticFox
227,Baboon,개코원숭이,2,2,3,55,5,8,3,0.Animal/Mypreset/Baboon
226,Eagle,독수리,2,2,4,53,4,5,3.5,0.Animal/Mypreset/Eagle
216,Flamingo,플라밍고,2,2,3,55,5,8,3,0.Animal/Mypreset/Flamingo
215,Hyena,하이에나,2,2,3,55,5,8,3,0.Animal/Mypreset/Hyena
218,Penguin,팽귄,2,2,3,55,5,8,3,0.Animal/Mypreset/Penguin
221,Grant's Gazelle,그랜트 가젤,2,3,3,65,5,8,4,0.Animal/Mypreset/Gazelle
224,Ostrich,타조,2,3,4,63,4,5,4.5,0.Animal/Mypreset/Ostrich
222,Ox,들소,2,3,2,67,5,10,3.5,0.Animal/Mypreset/Ox
223,SeaLion,바다사자,2,3,2,67,5,10,3.5,0.Animal/Mypreset/SeaLion
219,Wolf,늑대,2,3,3,65,5,8,4,0.Animal/Mypreset/Wolf
225,Zebra,얼룩말,2,3,3,65,5,8,4,0.Animal/Mypreset/Zebra
212,Wombat,웜뱃,3,0,4,43,4,5,1.5,0.Animal/Mypreset/Wombat
245,Wild Hamster,야생 햄스터,3,0,5,40,3,3,1,0.Animal/Mypreset/Hamster
